ConnectorName~  Audeo~ Audiobook~ Audioteka~ BezKartek~ Bookoteka~ BooksOn~ CzeskieKlimaty~ Czytio~ DobryEbook~ Empik~ EscapeMagazine~ FantastykaPolska~ Helion~ KodeksyWmp3~ Koobe~ Latarnik~ Legimi~ Merlin~ Nexto~ Pokatne~ RW2010~ Selkar~ TaniaKsiazka~ Tmc~ Virtualo~ Wikibooks~ Woblink~ WolneEbooki~ Zantes~ ZielonaSowa~ Zinamon~ ZloteMysli~ eClicto~ 
issue_id~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./issues/issue/issue_id~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
lang~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./jezyk~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
lang_long~ ~ ~ ~ ./languages/lang_long~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
lang_short~ ~ ~ ~ ./languages/lang_short~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./language~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
lectors~ ./attrs/a[@name='Lektor']~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
linked~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./powiazane/ident_powiazany~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
list_price~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ list_price~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
manufacturer_id~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./manufacturer_id~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
mass~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./ksiegarnie_nieinter/waga~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
md5~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./md5~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
name_of_promotion~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./promocja~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
net_price~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./ksiegarnie_nieinter/cena_netto~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
new~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./new~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
notes~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./description/div/div[@class='field-items']/div~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
on_demand~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./nazadanie~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
page_count~ ~ ~ ~ ./pageCount~ ~ ~ ./attrs/a[@name='Ilosc_stron']~ ~ ./liczba_stron~ ~ ~ ~ ./liczbastron~ ~ ~ ~ ~ ./liczba_stron~ ~ ~ ~ pages~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
price~ @price~ {urn:ExportB2B}price~ {urn:ExportB2B}price~ ./price~ ./price~ @price~ @price~ ./price~ ./cena~ ./price~ ./price~ ~ ./cenadetaliczna~ @price~ ./price~ @price~ {urn:ExportB2B}price~ ./cena~ ~ ~ ./cena~ price~ ./price/display~ {urn:ExportB2B}price~ ./price~ ~ @price~ ./cena~ ./price~ {urn:ExportB2B}price~ ./cena~ {urn:ExportB2B}price~ @price~ 
price_promotion~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./price_promo~ ~ ./cena~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./price_promo~ ~ ~ ~ ~ 
producent~ ./attrs/a[@name='Producent']~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
product_code~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./product_code~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
programName~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ @programName~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
protection~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./property[@name='protection']~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./security~ ~ ~ ~ ~ ~ ./zabezpieczenia~ ~ ~ 
publication_date~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ published~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
publisher~ ~ ~ ~ ./publisher~ ~ ~ ./attrs/a[@name='Wydawnictwo']~ ~ ~ ~ ./producer_producer~ ~ ~ ~ ./producer~ ./attrs/a[@name='Producent']~ ~ ./wydawnictwo~ ./publisher~ ~ ~ publisher~ ~ ~ ~ ~ ./attrs/a[@name='Wydawnictwo']~ ~ ./producer_producer~ ~ ~ ~ ./attrs/a[@name='Producent']~ 
publisher_code~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./attrs/a[@name='Kod_producenta']~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
publisher_id~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./producer_id~ ~ ~ ~ ~ 
rating~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./rating~ ~ ~ ~ ~ ./rating~ ~ ~ ~ ~ ~ ~ ~ ~ 
redactor~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./redakcja~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
section~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./dzial~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
section_id~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./dzial_id~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
security~ ~ ~ ~ ./securityType~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
